"module name","license","repository"
"@chevrotain/cst-dts-gen@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chevrotain/gast@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chevrotain/regexp-to-ast@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chevrotain/types@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chevrotain/utils@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chromatic-com/storybook@5.0.1","MIT","https://github.com/chromaui/addon-visual-tests"
"@cspotcode/source-map-support@0.8.1","MIT","https://github.com/cspotcode/node-source-map-support"
"@dotlottie/common@0.7.11","MIT",""
"@dotlottie/dotlottie-js@0.7.2","MIT","https://github.com/dotlottie/dotlottie-js"
"@dotlottie/player-component@2.7.12","MIT","https://github.com/dotlottie/player-component"
"@emoji-mart/data@1.2.1","MIT","https://github.com/missive/emoji-mart"
"@emotion/babel-plugin@11.13.5","MIT","https://github.com/emotion-js/emotion/tree/main/packages/babel-plugin"
"@emotion/cache@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/css@11.13.5","MIT","https://github.com/emotion-js/emotion/tree/main/packages/css"
"@emotion/hash@0.9.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/hash"
"@emotion/is-prop-valid@1.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/is-prop-valid"
"@emotion/memoize@0.9.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/memoize"
"@emotion/react@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.3.3","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/sheet"
"@emotion/styled@11.14.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/styled"
"@emotion/unitless@0.10.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/unitless"
"@emotion/use-insertion-effect-with-fallbacks@1.2.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/use-insertion-effect-with-fallbacks"
"@emotion/utils@1.4.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/utils"
"@emotion/weak-memoize@0.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/weak-memoize"
"@endo/cache-map@1.1.0","Apache-2.0","https://github.com/endojs/endo"
"@endo/env-options@1.1.11","Apache-2.0","https://github.com/endojs/endo"
"@endo/immutable-arraybuffer@1.1.2","Apache-2.0","https://github.com/endojs/endo"
"@envelop/core@5.5.1","MIT","https://github.com/graphql-hive/envelop"
"@envelop/instrumentation@1.0.0","MIT","https://github.com/n1ru4l/envelop"
"@envelop/types@5.2.1","MIT","https://github.com/n1ru4l/envelop"
"@epic-web/invariant@1.0.0","MIT","https://github.com/epicweb-dev/invariant"
"@esbuild/linux-x64@0.27.3","MIT","https://github.com/evanw/esbuild"
"@eyhn/msgpack-stream@2.8.4","ISC","https://github.com/msgpack/msgpack-javascript"
"@fastify/busboy@3.2.0","MIT","https://github.com/fastify/busboy"
"@file-type/xml@0.4.4","MIT","https://github.com/Borewit/file-type-xml"
"@floating-ui/core@1.7.4","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.7.5","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.7","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.10","MIT","https://github.com/floating-ui/floating-ui"
"@foliojs-fork/fontkit@1.9.2","MIT","https://github.com/foliojs-fork/fontkit"
"@foliojs-fork/linebreak@1.1.2","MIT","https://github.com/foliojs-fork/linebreaker"
"@foliojs-fork/pdfkit@0.15.3","MIT","https://github.com/foliojs-fork/pdfkit"
"@foliojs-fork/restructure@2.0.2","MIT","https://github.com/foliojs-fork/restructure"
"@gerrit0/mini-shiki@3.22.0","MIT","https://github.com/Gerrit0/mini-shiki"
"@graphql-codegen/add@5.0.3","MIT","https://github.com/dotansimha/graphql-code-generator"
